0001, 0.00
0002, 0.00
0003, 0.00
0004, 0.00
0005, 0.00
0006, 0.00
0007, 0.00
0008, 0.00
0009, 0.00
0010, 1.00
0011, 0.00
0012, 0.00
0013, 0.00
0014, 0.00
0015, 0.00
0016, 0.00
0017, 1.00
0018, 0.00
0019, 0.00
0020, 0.00
0021, 0.00
0022, 0.00
0023, 0.00
0024, 0.00
0025, 0.00
0026, 0.00
0027, 0.00
0028, 0.00
0029, 0.00
0030, 0.00
0031, 0.00
0032, 0.00
0033, 0.00
0034, 0.00
0035, 0.00
0036, 0.00
0037, 0.00
0038, 0.00
0039, 0.00
0040, 1.00
0041, 0.00
0042, 0.00
0043, 0.00
0044, 0.00
0045, 0.00
0046, 0.00
0047, 0.00
0048, 0.00
0049, 0.00
0050, 0.00
